game_id,analyst,choosed
320,김현회,1.0
321,김현민,1.0
322,김현민,1.0
323,김현민,1.0
324,김현민,1.0
325,김현민,0.5
326,김현민,0.5
327,김현민,1.0
328,김현민,1.0
329,김현민,0.0
330,김현민,0.0
331,김현민,1.0
332,김현민,1.0
333,김현민,1.0
334,김현민,0.5
335,김현회,1.0
336,김현회,1.0
337,김현회,0.0
338,김현회,0.0
339,김현회,0.5
340,김현회,0.5
331,김현회,1.0
341,김현회,0.0
342,김현회,1.0
332,김현회,0.5
343,김현회,0.0
344,김현민,1.0
345,김현민,1.0
346,김현민,1.0
347,김현민,1.0
348,김현민,0.0
349,김현민,1.0
350,김현회,1.0
351,김현회,1.0
353,김현회,0.0
354,김현회,0.0
355,김현회,0.0
356,김현민,0.0
357,김현민,0.0
358,김현민,1.0
359,김현민,0.0
360,김현민,0.0
361,김현민,0.0
362,김현민,0.0
363,김현민,1.0
364,김현민,1.0
365,김현민,1.0
366,김현민,1.0
367,김현회,1.0
368,김현회,1.0
369,김현회,1.0
370,김현회,0.0
371,김현회,0.5
372,김현회,0.5
373,김현회,1.0
374,김현회,1.0
375,김현회,0.0
376,김현회,1.0
377,김현회,0.0
378,김현회,0.0
379,김현회,0.0
380,김현회,0.0
381,김현회,1.0
382,김현회,0.5
383,김현회,0.5
384,김현회,0.0
385,김현회,1.0
386,김현회,0.0
387,김현회,0.0
388,김현회,1.0
389,김현회,0.0
390,김현회,1.0
391,김현회,1.0
392,김현회,0.5
393,김현회,1.0
394,김현민,1.0
395,김현민,0.0
396,김현민,0.0
397,김현민,0.0
398,김현민,1.0
399,김현민,0.0
400,김현민,0.0
401,김현민,0.0
402,김현민,0.0
403,김현민,0.0
404,김현민,0.0
405,김현민,1.0
406,김현회,0.0
407,김현회,0.0
408,김현회,0.0
409,김현회,1.0
410,김현회,0.0
411,김현회,1.0
412,김현회,1.0
413,김현회,1.0
414,김현회,0.0
415,김현회,0.5
416,김현회,0.5
417,김현회,1.0
418,김현회,1.0
419,김현회,0.0
420,김현회,0.5
421,김현회,0.5
424,김현민,0.0
425,김현민,0.0
426,김현민,1.0
